link user,user,waktu posting,komen,likes
https://www.instagram.com/renitanov/,renitanov,55m,"Masak dimana itu beras… listrik kaga ada, gas kaga ada 🤣",Reply
https://www.instagram.com/tebo3803/,tebo3803,55m,Sekelas menteri di suruh manggul beras sendirian.... 😢😢,Reply
https://www.instagram.com/abdulfaqih09/,abdulfaqih09,55m,rekrut gak min nih,Reply
https://www.instagram.com/priyandirs/,priyandirs,55m,Banyak banget yg komen🤣,Reply
https://www.instagram.com/ika_rasyid/,ika_rasyid,55m,Muak,Reply
https://www.instagram.com/tiara.prtwi/,tiara.prtwi,55m,🤮🤮🤮🤮🤮🤮🤮,Reply
https://www.instagram.com/dianqueena_/,dianqueena_,54m,Sempetnya ngonten😂 adab woyy,Reply
https://www.instagram.com/atiksoemaryono/,atiksoemaryono,54m,sebaik-baik nasehat teguran & hukuman adalah kematian,Reply
https://www.instagram.com/rani.rahayu17/,rani.rahayu17,54m,Dia yang patahin kaki dia yg kasih tongkat untuk apa?untuk dapat ucapan terimakasih,Reply
https://www.instagram.com/donigrams/,donigrams,54m,Aktingnya ngalahin harisson ford 🙌👏,Reply
https://www.instagram.com/dillllaaaahhhh____/,dillllaaaahhhh____,54m,Zul zul zul . Bikin malu nama zul aja pak 🤡,Reply
https://www.instagram.com/srinrfhm/,srinrfhm,53m,ngapain pak?,Reply
https://www.instagram.com/aprillia_lenna/,aprillia_lenna,53m,"Pak coba sekolah acting deh, kurang nampol deh keliatan gitu settingan nya 😢😢",Reply
https://www.instagram.com/virgow11/,virgow11,53m,Dasar Babi kau,Reply
https://www.instagram.com/aquariots_13/,aquariots_13,53m,Jijiik,Reply
https://www.instagram.com/chie.anggrainy/,chie.anggrainy,53m,Sebenarnya dia lah BENCANANYA,Reply
https://www.instagram.com/muhammad_falah18/,muhammad_falah18,52m,"Permisi Pak 🙏,kan elo juga penyebab AJG",Reply
https://www.instagram.com/yunita_ang_/,yunita_ang_,52m,Sudah cukup lihat hasil kerja bapak?? Dapet nol besar dari alam pak .. semoga remedialnya ngga gahal lagi ya ..,Reply
https://www.instagram.com/ty.cannn/,ty.cannn,52m,A last minute hero 🤣🙌👏😂🤣😂🤣😂,Reply
https://www.instagram.com/winskywin_/,winskywin_,52m,Pante kau,Reply
https://www.instagram.com/jidanrnggm/,jidanrnggm,51m,Kocak,Reply
https://www.instagram.com/iloveyouamber1/,iloveyouamber1,51m,😂,Reply
https://www.instagram.com/rfflyazrhrp/,rfflyazrhrp,51m,kurang kurangin capernya tua,Reply
https://www.instagram.com/vendy_elfurqon/,vendy_elfurqon,51m,1...2...3... kamera rolling.... action !!! 📽,1 like
https://www.instagram.com/arifdrmwnnn09/,arifdrmwnnn09,51m,"Itu tim mu banyak , badannya gede-gede ngapain lu yg bawa sih zul? Kan baju mu jadi kotor",Reply
https://www.instagram.com/sigit_sptro/,sigit_sptro,50m,fakingshit lu,Reply
https://www.instagram.com/igstayumita/,igstayumita,50m,Capek ngelike komen,Reply
https://www.instagram.com/azkia_smom/,azkia_smom,50m,Katanya  saya pribadi akan bantu usaha😂😂yakin pak itu uang bukan uang rakyat yang dipake?? 😂,Reply
https://www.instagram.com/fitrisafitri14/,fitrisafitri14,50m,😮😮😮🤣🤣,Reply
https://www.instagram.com/rilamainia_/,rilamainia_,50m,Pak jangan cuci tangan dulu..noh pantai parkit udh dibersihkan blm,Reply
https://www.instagram.com/ketut_geni_gurita/,ketut_geni_gurita,50m,Casting dulu untuk acting nya pak,Reply
https://www.instagram.com/iyrasnj_/,iyrasnj_,50m,Hmmm,Reply
https://www.instagram.com/zahwajeu/,zahwajeu,49m,saya pribadi-  cnh,Reply
https://www.instagram.com/anw4r049/,anw4r049,49m,Komentar isi nya Hujatan semua 😂😂😂,Reply
https://www.instagram.com/uhannny/,uhannny,49m,Ngapain sih,Reply
https://www.instagram.com/khielman/,khielman,49m,Dihh🤮🤮,Reply
https://www.instagram.com/fifaaah__a/,fifaaah__a,49m,biar apa kek gitu 😂,Reply
https://www.instagram.com/adampaqot/,adampaqot,48m,Cuhhh ludahhh online,Reply
https://www.instagram.com/charismaardnf/,charismaardnf,48m,Hiliiihhh khinthillll,Reply
https://www.instagram.com/fatmaolinardi/,fatmaolinardi,47m,Upgrade lagi actingnya ya aki 😂,Reply
https://www.instagram.com/adetutisapitrii/,adetutisapitrii,47m,Ciduhan.,Reply
https://www.instagram.com/nunung.njreal/,nunung.njreal,47m,masyallah pak mentri keren bangeet,Reply
https://www.instagram.com/abangghoni/,abangghoni,47m,Kenapa ngga manggul kayu gelondongan aja !!,Reply
https://www.instagram.com/andrewsputra/,andrewsputra,47m,PABU🔥,Reply
https://www.instagram.com/nabikasan/,nabikasan,47m,Berhentiko,Reply
https://www.instagram.com/supriynto__/,supriynto__,47m,Haus validasi ya pak?,Reply
https://www.instagram.com/yazz.nzr/,yazz.nzr,47m,"Tcuihh lagu lama lu kontol, ini akibat ulah lu juga bangsat",Reply
https://www.instagram.com/muhmmd.reza_/,muhmmd.reza_,46m,wkwkwk,Reply
https://www.instagram.com/andrewsputra/,andrewsputra,46m,JADILAH ORANG SADAR BUKAN ORANG BAIK,Reply
https://www.instagram.com/abel_bsr/,abel_bsr,46m,🤣🤣🤣🤣🤣🤣 no respect,Reply
